Epoch,train_loss,train_acc,intra_session_loss,intra_session_acc,inter_session_loss,inter_session_acc
0,1.8586729178413415,30.581177352830895,1.9514969346069155,27.369254412518046,1.9205081115795086,29.624075184963008
1,1.7413295610263324,35.37307836520435,1.5340515424807866,39.156149583197504,1.4797898606409001,42.30153969206159
2,1.4378565500338618,43.3145856767904,1.61228216865233,38.00121082289387,1.4818930565556394,42.66146770645871
3,1.3818828328348958,46.07924009498813,1.4304149438227927,43.58496716807153,1.3707864827747587,45.6008798240352
4,1.353469873007875,47.70653668291464,1.5260666903285753,40.8839007125227,1.4262636915037903,45.020995800839835
5,1.3244499082382495,49.148856392950876,1.4219092247741563,45.64336608764495,1.3998072132279602,45.640871825634875
6,1.3069468957547563,50.03124609423823,1.4078755352113927,47.04046942672193,1.3320051597643503,49.16016796640672
7,1.2889882291848667,50.85364329458818,1.4308954722114973,45.112466818795696,1.2852049530306948,50.31993601279744
8,1.2626424068079207,51.90101237345331,1.4524194303722608,45.42914357565314,1.3392330981508087,49.200159968006396
9,1.252240399583079,52.24596925384327,1.361765128870805,48.65179527779071,1.2821788335148292,50.799840031993604
10,1.2302502111885876,52.97587801524809,1.4304136612585612,45.95538583337214,1.329360207424888,48.86022795440912
11,1.2610020450890636,51.86601674790651,1.355638598579736,48.758906533786615,1.2602458000183105,51.89962007598481
12,1.2204043059684218,53.43832020997375,1.3944790483940215,47.394402272621434,1.247114831888223,52.4495100979804
13,1.2034612084729983,54.17822772153481,1.3061394833383106,50.998928887440044,1.229165464262419,52.849430113977206
14,1.1916684658763508,54.598175228096494,1.4719079672580673,46.514227169002936,1.293601774716679,50.829834033193364
