Epoch,train_loss,train_acc,intra_session_loss,intra_session_acc,inter_session_loss,inter_session_acc
0,1.734445259593927,32.42256830737695,1.6568176270950408,32.6642760676198,1.5738021708741974,36.535385845661736
1,1.5454226960770239,38.4621153413494,1.5249433815479279,38.30391654636055,1.446352676500248,43.72251099560176
2,1.4337528216572235,43.894207934404925,1.449538175548826,42.104037628649934,1.3936451733866824,44.60215913634546
3,1.4031496630689968,44.696647751418645,1.4282207334680217,42.22046290690635,1.3721511182905752,45.241903238704516
4,1.3780167834065593,45.684073694472914,1.416222447263343,43.64085130163461,1.334098834025709,47.10115953618553
5,1.3601927505895353,46.236532260080494,1.4068451442179226,44.2322917151772,1.3198302606993084,47.97081167532987
6,1.3298944269125454,47.72892033097518,1.3934656998940878,45.20095003027057,1.2917867431157752,49.01039584166333
7,1.3077791731197612,49.02382321325901,1.348155624277535,48.86601778978252,1.2684931830514836,51.059576169532185
8,1.2770265306527622,50.90118241131915,1.3453216818826539,49.159409490988686,1.2376420580888097,52.66893242702919
9,1.2476548992406826,52.568557358198134,1.3629536458424159,48.13952405346249,1.2526473025732403,52.39904038384646
10,1.2131850687078773,54.25343099267555,1.4187783339903468,46.514227169002936,1.2034983235069467,55.23790483806477
11,1.188926368475722,55.690823188260886,1.4427081428113437,45.98332790015368,1.2024444718904133,54.808076769292285
12,1.1611065432286491,56.63325250606205,1.413937855334509,47.6551948959158,1.2150437756429744,54.68812475009996
13,1.1491079319018525,57.43069269804765,1.4452310420927548,46.63530945838961,1.1433711029306244,57.93682526989204
14,1.122612656114962,59.12556558258131,1.3937329467208612,47.85544637451684,1.112687098074563,58.63654538184726
