Epoch,train_loss,train_acc,intra_session_loss,intra_session_acc,inter_session_loss,inter_session_acc
0,1.998769768368114,25.714448366161903,2.014325479666392,25.92091134039871,2.013161187586577,25.74843483210017
1,1.869657251184637,29.824661277467833,1.7143922845522563,33.65236472290957,1.7388348493023196,31.90665907797382
2,1.7248512107675726,33.476602527610154,1.5319762095099403,40.188617582520195,1.565652660701586,38.47467273762094
3,1.5374491002342918,39.451212569736995,1.4364061167552358,43.18128764181334,1.4399001909338909,43.88161639157655
4,1.442569371136752,43.470340430376865,1.3832140181745802,46.29067650217097,1.3964667493018552,45.384177575412636
5,1.3868188962069425,45.918251167027215,1.3546663795908291,47.81735842009431,1.3629955364310222,47.51280591918042
6,1.3595820270885122,47.2247523625185,1.3943069648175013,45.76777627340212,1.4264665582905645,45.28173022196927
7,1.3579035585576837,47.17351702151885,1.3674090887819017,46.72020169008824,1.3633921457373577,47.19408081957883
8,1.3531280209801413,47.68871683934874,1.3442655145412399,47.92473971707363,1.3584874194601309,48.161639157655095
9,1.4461730800975452,45.360355231697596,1.386481454684621,45.67440123255054,1.4109043694924617,45.55492316448492
10,1.336310511935841,48.35762268017761,1.3346972241997719,48.01344600588263,1.3313771935476773,48.50313033579966
11,1.3163204071738503,49.01229648183992,1.3296098631052744,48.7090900602269,1.3239856008170308,49.40239043824701
12,1.3045259141921997,49.70112717750199,1.3283680872548194,49.465427891124705,1.316687039707018,49.926010244735345
13,1.291533810008656,50.21917340316521,1.3066414857194537,49.90895933516971,1.2990056967389756,50.44963005122368
14,1.2799145039645108,51.149948764659,1.312600432762078,51.08548484989962,1.2874694768933281,51.6107000569152
