Epoch,train_loss,train_acc,intra_session_loss,intra_session_acc,inter_session_loss,inter_session_acc
0,1.97486049070145,25.375037503750374,1.6924979573204404,33.278963556715446,1.7136718728874303,34.543091381723656
1,1.6775981515360336,36.04860486048605,1.6395413825909297,34.24829900270296,1.6209394343291657,36.15276944611078
2,1.5586412867037251,41.04160416041604,1.5313327014446259,40.74471059744617,1.4629758551150938,44.51109778044391
3,1.4220795486681759,47.03220322032203,1.465717328446252,44.957591574238045,1.3786091593247425,48.77024595080984
4,1.3643295730645664,49.832483248324834,1.4775687722223145,45.76847795693914,1.330062332032602,50.37992401519696
5,1.3105206497180195,51.8001800180018,1.4588540749890464,46.299748345605366,1.2804523208473302,52.759448110377924
6,1.2665052086400528,53.63786378637864,1.440148300713017,46.6259670053127,1.2566076705727396,53.449310137972404
7,1.2233533541234538,54.89798979897989,1.5587749226639669,47.11063472830646,1.2445652967766871,53.739252149570085
8,1.190472045264686,56.22062206220622,1.3899641146972066,47.98210457638177,1.1859562359278715,56.80863827234553
9,1.1499650765912601,58.06330633063307,1.4042794803778331,49.79028800447386,1.1271245894552786,58.31833633273345
10,1.1178800749321716,59.278427842784275,1.3800230430705207,50.242333861496874,1.1068836503391024,59.42811437712457
11,1.0892068717045524,60.28852885288529,1.4154999451268286,50.17709012955541,1.0886551368085644,60.15796840631874
12,1.0715262196696222,61.16111611161116,1.3964556095500786,50.05592319880697,1.0540554078319404,61.46770645870826
13,1.0548009958130102,61.931193119311935,1.4051087001959484,49.5992170752167,1.0809430132938336,60.54789042191562
14,1.0416695100430864,62.32373237323733,1.3770372072855632,50.82952744897008,1.053029559835603,61.49770045990802
