Epoch,train_loss,train_acc,intra_pre_acc,intra_pre_loss,intra_acc_best,intra_acc_worst,intra_acc_mean,intra_acc_final,intra_loss_best,intra_loss_worst,intra_loss_mean,intra_loss_final
0,1.9015001366510416,28.671146845873835,33.395470220896634,1.6752258028302873,33.80091341224718,29.615994034858794,31.52577127411688,33.80091341224718,1.714004288117091,1.9545513412782125,1.8198786565235683,1.714004288117091
1,1.6148825987525608,37.533501340053604,39.649547954142975,1.5338398569396563,39.05769410010252,37.84136452605089,38.57675459036257,38.46584024606207,1.5485798134690238,1.5990372938769204,1.5691235424507233,1.5663141430843444
2,1.456291450868787,45.02980119204768,43.3591201416721,1.522981573783216,44.6500139807997,43.857768664367605,44.274396495479536,44.6500139807997,1.497132768233617,1.5278282030707313,1.514723816584973,1.497132768233617
3,1.420596419088066,47.533901356054244,45.82440115574611,1.4403369887953712,46.108677416348215,37.412620001864106,41.07186131046696,38.25146798396868,1.4453493903080623,1.6796609035560064,1.5722910066445668,1.6141001823402585
4,1.3332134915129912,50.810032401296056,42.64609935688321,1.6002063062928973,45.05545717215025,44.26321185571815,44.72178208593532,45.05545717215025,1.5528067158801215,1.580625481193974,1.5642359601599831,1.5551794210360164
5,1.3812010635805252,49.23796951878075,43.284555876596144,1.5041439927050047,43.95097399571255,43.71330040078293,43.85124429117346,43.95097399571255,1.5046335934173494,1.5141949600407056,1.510117243017469,1.5089162967744327
6,1.396863534017597,48.59194367774711,44.32845558765961,1.4790711370962006,45.577407027681986,44.92030944170006,45.25491658122845,45.43759903066455,1.4586852295767694,1.4700865163689567,1.4647650534198395,1.4586852295767694
7,1.3223502084117411,51.41405656226249,47.054711529499485,1.4216561899298714,47.84695684593159,47.60462298443471,47.71646938204866,47.651225650107186,1.4117951268951099,1.4161131144279526,1.4137086299203692,1.4121983498334885
8,1.2582473102432992,53.58014320572823,48.3083232360891,1.4172198648254077,48.35958616832883,47.98210457638177,48.15919470593718,48.1219125733992,1.4124203405919529,1.421318459723677,1.418950696715287,1.421318459723677
9,1.2258143556087524,54.84219368774751,48.30366296952186,1.409009990238008,48.937459222667535,47.67918724951067,48.28875011650666,48.937459222667535,1.3879193936785061,1.3988949159781139,1.393529977046308,1.3879193936785061
10,1.189898468954179,56.43625745029801,49.08192748625221,1.4003744455320495,50.51262932239724,50.00932053313449,50.188274769316806,50.13514773045018,1.371489487233616,1.3768834152391978,1.3747154030771482,1.371489487233616
11,1.1521279200568528,57.940317612704504,50.661757852549165,1.4106974988466217,51.258271973156866,50.89477118091155,51.11566781619909,51.15108584211017,1.3678347479019846,1.379221260547638,1.3729442653911454,1.3711325079202652
12,1.1058078496657369,59.86039441577663,50.76428371702861,1.3563212862326985,52.04119675645447,51.73361916301612,51.85012582719732,51.86410662689906,1.3208063455919425,1.3330541767534756,1.3295553039582004,1.3309527170800028
13,1.0745215996756883,61.04844193767751,52.44197968123777,1.3282503916748933,52.04119675645447,51.74293969615062,51.93401062540778,51.74293969615062,1.3353235634664695,1.3421522597117084,1.3383081837779,1.3400501415488266
14,1.040709264747932,62.4984999399976,51.35613757106906,1.414057877446924,52.50256314661198,51.93401062540777,52.23319973902507,51.93401062540777,1.3695174067148141,1.3805729690052213,1.3754026692538033,1.3805729690052213
