Epoch,train_loss,train_acc,intra_session_loss,intra_session_acc,inter_session_loss,inter_session_acc
0,1.939945184384672,27.184175033717967,2.0129112757387615,25.991312876558776,2.0095457728905015,26.338393927287257
1,2.0023300373516144,26.332484140066935,2.051071681437038,27.691373593012937,2.039478270313408,27.846584099081102
2,1.5067694229058946,40.071931664918324,1.4520634150221234,40.077530241464665,1.4198646967924093,42.13943268078306
3,1.3433570088669895,45.60167840551476,1.3729215079829806,45.17304189435337,1.3733358926410917,44.96604075109868
4,1.2997408259790926,46.96788051351216,1.3155505848782403,48.35832048946803,1.2788119497178476,48.791450259688375
5,1.297408626102411,47.944452769868626,1.268184567136424,49.7361169492317,1.253802248194248,49.350779065121856
6,1.2315376130536722,51.12393226434887,1.3113659034882272,50.24053056839942,1.240107281298577,50.86895725129844
7,1.2013163153355875,52.64748488935511,1.187826748405184,54.10303115221148,1.1900957272022585,53.42588893328006
8,1.3824598404546133,49.028422998151754,2.0120886095932553,33.47344822754659,2.0119829826717135,33.4398721534159
9,1.876796060476821,30.84319896098706,1.767061947357087,34.827892204941385,1.7602549067026452,35.52736715940871
10,1.8296937668285431,33.73545132124482,1.7726024218967982,34.92130213441689,1.7499749766120427,35.38753495805034
11,1.6903788296940228,36.515310455067684,2.204076879081272,33.921815889029006,2.0743777917910227,34.40870954854175
12,1.7180273643316932,36.83500674359358,1.6355379252206712,40.10088272383354,1.6183558702468872,40.36156612065521
13,1.5584085307563076,39.579899095858934,1.5035339682584716,41.28718882817243,1.4956166910219797,40.95085896923692
14,1.4762561835420018,42.539587391977626,1.4777004459784144,41.441315211807016,1.4527960276301903,42.83859368757491
