Epoch,train_loss,train_acc,intra_pre_acc,intra_pre_loss,intra_acc_best,intra_acc_worst,intra_acc_mean,intra_acc_final,intra_loss_best,intra_loss_worst,intra_loss_mean,intra_loss_final
0,1.81045755309522,32.00720792872159,36.21955210622283,1.6897665556697619,36.42994062368507,32.801907522558324,35.23119360418907,35.94838468371593,1.7219122421173823,1.9145186969212122,1.8268429050842918,1.7660694924138842
1,1.764184167013144,33.62498748623486,35.38267333676189,1.7062470249476887,36.03254009070083,34.99462340455374,35.49301042591986,34.99462340455374,1.7619738167240506,1.7888107001781464,1.7790551009632292,1.7765208106665384
2,1.6174562489590072,38.36420062068275,42.44237692271729,1.5694795818555922,44.027303754266214,43.01276357005938,43.42886530459582,44.027303754266214,1.5474944646869386,1.6004893655578296,1.5835691652837256,1.5893457233905792
3,1.4113939784067062,47.211933126439085,48.83351255318154,1.4605828080148924,49.24026368694189,48.41273551825705,48.8007854504652,49.24026368694189,1.4915946140175773,1.508088428349722,1.4998343446425029,1.4915946140175773
4,1.2498799297205931,54.876364000400436,53.630370751320775,1.3944547121368704,53.27504792182898,52.56440226284539,52.984244237692266,53.055308803590634,1.432947118012678,1.4543376174711047,1.4413506871178037,1.4419230761982145
5,1.149958462513926,59.32725998598458,54.981532563467205,1.3203338370436715,56.215811865912386,55.75763242788349,55.91939782131002,55.762307728271544,1.325235859623977,1.3422542609983967,1.3351696546588625,1.3399881796822661
6,1.0710575591267832,62.62889178095905,58.263593435878256,1.2732558363959903,57.571648978446866,56.54775819346393,57.079807377624014,56.54775819346393,1.320052169972942,1.3722135296889715,1.34905806183815,1.3722135296889715
7,1.005198580072359,65.16568225047553,57.60437608116322,1.312271940211455,57.63710318387957,56.879704521015476,57.28645565477582,56.879704521015476,1.343761519307182,1.3661760606226467,1.3562990037458285,1.3661760606226467
8,0.958882812648783,66.81950145159675,58.73112347468325,1.2611078933945723,58.24489223432605,57.49684417223806,57.861517602505955,57.49684417223806,1.2848319675595987,1.3056656484092986,1.2942398562672595,1.3056656484092986
9,0.9015519608317129,68.77565321854038,59.80176726354668,1.2686362718897206,59.427743232502685,58.81527888166815,59.073355463088504,58.81527888166815,1.2862626385121119,1.30865209123918,1.2990074718282336,1.3016576788255148
10,0.8629357793447002,70.1791971168285,59.99812987984478,1.26410275804145,59.11449810650334,57.71190799008836,58.36083968394969,57.71190799008836,1.3005626710752647,1.344043554294677,1.3268134018494968,1.344043554294677
11,0.83096171111402,71.49063970367405,60.60124362990322,1.2942864893092996,59.05839450184674,58.45995605217635,58.6993314320445,58.51605965683295,1.3510472792245092,1.3758367605152584,1.3655080185759636,1.3741225967449802
12,0.7884869953555524,72.79607568325159,60.66669783533592,1.2699022584018254,58.824629482444244,58.160736827341154,58.491748094815094,58.160736827341154,1.3372898833560092,1.3534359059163503,1.3452665619906925,1.3534359059163503
13,0.7599762533326893,73.9193112423666,62.139417457571646,1.2044796161353588,60.76487914348497,59.97942867829258,60.308569825611286,59.98877927906868,1.2498708631665933,1.2726615383511497,1.2618018226254555,1.2726615383511497
14,0.9740465768157979,66.19281209330263,56.15970826125579,1.3157863844008673,56.13165645892749,41.558745149375845,52.38206554771144,41.558745149375845,1.3630704054875034,1.6673927601604235,1.439846678539401,1.6673927601604235
