Epoch,train_loss,train_acc,intra_session_loss,intra_session_acc,inter_session_loss,inter_session_acc
0,1.7322063914503152,36.30070227176168,1.6446644046476908,39.34158300256829,1.6533075208905377,37.305077968812476
1,1.7933807308300616,36.51063404393572,1.9537549111105146,32.08031753443848,1.947901709170281,32.47700919632147
2,1.6183679511371893,40.294404318596456,1.6348566416473616,38.846602848470695,1.487500453297096,43.922431027588964
3,1.461381723705572,45.82760602804088,1.591936764617761,41.69974317067476,1.4377330194545697,46.75129948020792
4,1.4077806213793282,48.13935470971934,1.622331950636137,41.130049031053,1.409484573557407,47.451019592163135
5,1.3538846859154992,50.81098642941044,1.7669571716161,38.77188886294653,1.490251275557506,44.252299080367855
6,1.3191422882933206,52.150551070901955,1.5708484640788465,45.44945131916881,1.3441214931162098,50.879648140743704
7,1.2914137196617004,53.66755804363582,1.507835128122852,46.593509222507585,1.261638485932652,54.38824470211915
8,1.264795429028642,54.824681978357034,1.589732804291305,45.08989026383376,1.3530831759489035,49.790083966413434
9,1.2412934164269664,55.75437982655637,1.6560668696959813,44.54821386878356,1.2937276099301591,53.758496601359454
10,1.2374214503330925,55.729387948916596,2.844779367957796,32.08031753443848,2.709903834741327,32.47700919632147
11,1.3363737599156535,51.62322245270287,1.7834695449897222,40.98529068409993,1.4297043688689606,47.35105957616953
12,1.2479566632749173,55.232049583885235,1.4620822036550158,48.16717254261032,1.2323678166051455,55.53778488604558
13,1.1960754405957061,57.076450153700044,1.489598115640027,47.555451786131215,1.2227508365353452,55.64774090363854
14,1.1757985380130074,57.78621947866943,1.4023194339658533,51.28181181414896,1.1581862304784074,57.926829268292686
