Epoch,train_loss,train_acc,intra_session_loss,intra_session_acc,inter_session_loss,inter_session_acc
0,1.8820720804385103,33.30666133226645,1.9179130849384127,35.633953987586914,1.78823135623449,36.756324367563245
1,1.7098141741067077,38.60772154430886,2.186467058956623,35.02729945401092,1.6912209187881857,39.356064393560644
2,1.621322016365612,40.84066813362672,1.919292685176645,39.39521209575808,1.590881447248821,41.005899410058994
3,1.6956423277291246,38.9252850570114,1.9827126342625845,33.55266228008773,1.6605643637572662,38.7961203879612
4,1.62923901073468,40.32306461292258,2.136372269619079,30.986046945727754,1.640596477291252,40.63593640635936
5,1.560911090229266,42.54850970194039,2.2540431749962626,30.925381492370153,1.55778902542742,41.84581541845815
6,1.7908111791641186,35.98969793958792,2.17226388021594,28.088104904568574,1.649505096145823,40.095990400959906
7,1.6004166214610822,40.91568313662732,2.1434998544199124,29.194082785010966,1.5790049667599835,41.835816418358164
8,1.5549441716922359,42.60352070414083,2.1634162660865557,29.688739558542164,1.544059537634065,43.27567243275672
9,1.5373470832745488,43.23114622924585,1.962922871467613,32.55401558635494,1.561149304426169,42.36576342365763
10,1.5392315738117353,43.44618923784757,2.1454523461205617,30.09006486536936,1.5443020893048636,43.335666433356664
11,1.4983074139482297,45.10902180436087,2.03329766080493,31.03271267907975,1.4881702465347098,45.79542045795421
12,1.4610564849628047,46.521804360872174,2.1328479615705356,32.98334033319333,1.4726854713657234,45.775422457754225
13,1.4335814626833883,47.216943388677734,2.041009721301851,30.547389052218957,1.4110387442987176,48.57514248575143
14,1.3927854006282818,49.044808961792356,2.1370882164864313,29.492743478463765,1.3821755896640728,49.36506349365064
